pubname,puballtables,pubinsert,pubupdate,pubdelete,pubtruncate,schema_name,table_name,prattrs,prqual
supabase_realtime,f,t,t,t,t,public,messages,,
supabase_realtime_messages_publication,f,t,t,t,t,realtime,messages,,
