schema_name,table_name,constraint_name,constraint_type,condeferrable,condeferred,definition
auth,oauth_clients,oauth_clients_token_endpoint_auth_method_check,c,f,f,"CHECK (token_endpoint_auth_method = ANY (ARRAY['client_secret_basic'::text, 'client_secret_post'::text, 'none'::text]))"
auth,oauth_consents,oauth_consents_client_id_fkey,f,f,f,FOREIGN KEY (client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
auth,oauth_consents,oauth_consents_pkey,p,f,f,PRIMARY KEY (id)
auth,oauth_consents,oauth_consents_revoked_after_granted,c,f,f,CHECK (revoked_at IS NULL OR revoked_at >= granted_at)
auth,oauth_consents,oauth_consents_scopes_length,c,f,f,CHECK (char_length(scopes) <= 2048)
auth,oauth_consents,oauth_consents_scopes_not_empty,c,f,f,CHECK (char_length(TRIM(BOTH FROM scopes)) > 0)
auth,oauth_consents,oauth_consents_user_client_unique,u,f,f,"UNIQUE (user_id, client_id)"
auth,oauth_consents,oauth_consents_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,one_time_tokens,one_time_tokens_pkey,p,f,f,PRIMARY KEY (id)
auth,one_time_tokens,one_time_tokens_token_hash_check,c,f,f,CHECK (char_length(token_hash) > 0)
auth,one_time_tokens,one_time_tokens_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,refresh_tokens,refresh_tokens_pkey,p,f,f,PRIMARY KEY (id)
auth,refresh_tokens,refresh_tokens_session_id_fkey,f,f,f,FOREIGN KEY (session_id) REFERENCES auth.sessions(id) ON DELETE CASCADE
auth,refresh_tokens,refresh_tokens_token_unique,u,f,f,UNIQUE (token)
auth,saml_providers,entity_id not empty,c,f,f,CHECK (char_length(entity_id) > 0)
auth,saml_providers,metadata_url not empty,c,f,f,CHECK (metadata_url = NULL::text OR char_length(metadata_url) > 0)
auth,saml_providers,metadata_xml not empty,c,f,f,CHECK (char_length(metadata_xml) > 0)
auth,saml_providers,saml_providers_entity_id_key,u,f,f,UNIQUE (entity_id)
auth,saml_providers,saml_providers_pkey,p,f,f,PRIMARY KEY (id)
auth,saml_providers,saml_providers_sso_provider_id_fkey,f,f,f,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE
auth,saml_relay_states,request_id not empty,c,f,f,CHECK (char_length(request_id) > 0)
auth,saml_relay_states,saml_relay_states_flow_state_id_fkey,f,f,f,FOREIGN KEY (flow_state_id) REFERENCES auth.flow_state(id) ON DELETE CASCADE
auth,saml_relay_states,saml_relay_states_pkey,p,f,f,PRIMARY KEY (id)
auth,saml_relay_states,saml_relay_states_sso_provider_id_fkey,f,f,f,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE
auth,schema_migrations,schema_migrations_pkey,p,f,f,PRIMARY KEY (version)
auth,sessions,sessions_oauth_client_id_fkey,f,f,f,FOREIGN KEY (oauth_client_id) REFERENCES auth.oauth_clients(id) ON DELETE CASCADE
auth,sessions,sessions_pkey,p,f,f,PRIMARY KEY (id)
auth,sessions,sessions_scopes_length,c,f,f,CHECK (char_length(scopes) <= 4096)
auth,sessions,sessions_user_id_fkey,f,f,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
auth,sso_domains,domain not empty,c,f,f,CHECK (char_length(domain) > 0)
auth,sso_domains,sso_domains_pkey,p,f,f,PRIMARY KEY (id)
auth,sso_domains,sso_domains_sso_provider_id_fkey,f,f,f,FOREIGN KEY (sso_provider_id) REFERENCES auth.sso_providers(id) ON DELETE CASCADE
auth,sso_providers,resource_id not empty,c,f,f,CHECK (resource_id = NULL::text OR char_length(resource_id) > 0)
